COD1;produtividade
A;Alta produtividade
A(p);Alta produtividade
ASoc;Baixa produtividade
Aa;Alta produtividade
Aac;Alta produtividade
Aac(p);Alta produtividade
Ac;Alta produtividade
Ac(p);Alta produtividade
Alc;Alta produtividade
Arc;Baixa produtividade
Ba;Alta produtividade
Bca;Alta produtividade
Bp(d,p);Alta produtividade
Bp(p);Alta produtividade
Bpc;Alta produtividade
Ca;Baixa produtividade
Cb;Alta produtividade
Cb(d);Alta produtividade
Cb(d,p);Alta produtividade
Cb(h);Alta produtividade
Cb(p);Alta produtividade
Cbc;Alta produtividade
Cbc(d);Alta produtividade
Cbc(d,p);Alta produtividade
Cd;Baixa produtividade
Lb;Baixa produtividade
Lb(a);Baixa produtividade
Lb(d);Baixa produtividade
Lb(d,p);Baixa produtividade
Lb(p);Baixa produtividade
Lpt;Baixa produtividade
Lpt(a);Baixa produtividade
Lpt(d);Baixa produtividade
Lpt(p);Baixa produtividade
Lvt;Baixa produtividade
Mns;Baixa produtividade
N/D;Alta produtividade
Paco;Media produtividade
Paco(d);Media produtividade
Paco(p);Media produtividade
Pagc;Media produtividade
Pago;Media produtividade
Pao;Media produtividade
Pato;Media produtividade
Pato(p);Media produtividade
Pc;Media produtividade
Pc'(d);Media produtividade
Pcdc;Media produtividade
Pcdc(d);Media produtividade
Pcdc(d,b);Media produtividade
Pcdc(d,p);Media produtividade
Pcdc(p);Media produtividade
Pcds(p);Media produtividade
Pcs;Media produtividade
Pcs';Media produtividade
Pcs'(a);Media produtividade
Pcs'(d);Media produtividade
Pcs'(p);Media produtividade
Pcsd;Media produtividade
Pcsd';Media produtividade
Pcsd'(d);Media produtividade
Pcsd'(p);Media produtividade
Pcsd(a);Media produtividade
Pcsd(d);Media produtividade
Pcsd(d,p);Media produtividade
Pcsd(p);Media produtividade
Pcst;Media produtividade
Pcst(a);Media produtividade
Pct;Media produtividade
Pct(d);Media produtividade
Pcx;Media produtividade
Pcx(d);Media produtividade
Pdg;Media produtividade
Pg(d);Baixa produtividade
Pgm;Baixa produtividade
Pgm(d);Baixa produtividade
Pgm(p);Baixa produtividade
Pgn;Media produtividade
Pgn(p);Media produtividade
Pm;Media produtividade
Pmg;Media produtividade
Pmg(a);Media produtividade
Pmg(d);Media produtividade
Pmn;Media produtividade
Ppn(d);Baixa produtividade
Ppn(d,p);Baixa produtividade
Psn(d);Baixa produtividade
Ptc(d);Media produtividade
Rcg;Media produtividade
Rg;Baixa produtividade
Sb;Alta produtividade
Sb(p);Alta produtividade
Sba;Alta produtividade
Sba(h);Alta produtividade
Sba(p);Alta produtividade
Sbac;Alta produtividade
Sbc;Alta produtividade
Sbc(p);Alta produtividade
Sbl;Alta produtividade
Sblc;Alta produtividade
Sg;Baixa produtividade
Spc';Media produtividade
Spc'(p);Media produtividade
Svc';Media produtividade
Vac;Media produtividade
Vac'(p);Media produtividade
Vato;Media produtividade
Vc;Media produtividade
Vc(d);Media produtividade
Vc(p);Media produtividade
Vcd;Baixa produtividade
Vcd#;Media produtividade
Vcd#(d);Media produtividade
Vcd#(d,p);Media produtividade
Vcd'(p);Media produtividade
Vcd(d);Media produtividade
Vcd(d,p);Media produtividade
Vcd(h);Media produtividade
Vcd(p);Media produtividade
Vcdl;Media produtividade
Vcdt;Media produtividade
Vcsd;Media produtividade
Vcst;Media produtividade
Vct;Media produtividade
Vct(d,p);Media produtividade
Vt;Baixa produtividade
Vt(d);Baixa produtividade
Vtc;Media produtividade
Vto(d,p);Baixa produtividade
Vto(p);Baixa produtividade
